course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code;course_sae
1581671066;CORUMATW;41131;CORUM T1;1;ODYSSEUM;0;09:23:03;0;240;41155;268436148
1581671067;CORUMATW;41131;CORUM T1;1;ODYSSEUM;0;09:24:53;0;350;41155;268436159
1581671068;CORUMATW;41131;CORUM T1;1;ODYSSEUM;0;09:29:24;0;621;41155;268436117
1581671070;EUROMATW;41109;EUROMEDECINE;1;ODYSSEUM;0;09:25:55;0;412;41155;268436309
1581671082;EUROMATW;41109;EUROMEDECINE;1;ODYSSEUM;0;09:28:00;0;537;41155;268436238
1581671083;EUROMATW;41109;EUROMEDECINE;1;ODYSSEUM;0;09:33:00;0;837;41155;268436270
1581671229;GARETW;41135;GARE ST-ROCH T1;1;ODYSSEUM;0;09:20:26;0;83;41155;268435503
1581671066;GARETW;41135;GARE ST-ROCH T1;1;ODYSSEUM;0;09:28:03;0;540;41155;268436148
1581671067;GARETW;41135;GARE ST-ROCH T1;1;ODYSSEUM;0;09:29:53;0;650;41155;268436159
1581671070;HALLPATW;41103;HALLES PAILLADE;1;ODYSSEUM;0;09:21:10;0;127;41155;268436309
1581671082;HALLPATW;41103;HALLES PAILLADE;1;ODYSSEUM;0;09:23:15;0;252;41155;268436238
1581671083;HALLPATW;41103;HALLES PAILLADE;1;ODYSSEUM;0;09:28:15;0;552;41155;268436270
1581671070;HTMASATW;41107;HAUTS DE MASSANE;1;ODYSSEUM;0;09:24:55;0;352;41155;268436309
1581671082;HTMASATW;41107;HAUTS DE MASSANE;1;ODYSSEUM;0;09:27:00;0;477;41155;268436238
1581671083;HTMASATW;41107;HAUTS DE MASSANE;1;ODYSSEUM;0;09:32:00;0;777;41155;268436270
1581671069;LAPEYATW;41117;HOP. LAPEYRONIE;1;ODYSSEUM;0;09:21:50;0;167;41155;268436198
1581671230;LAPEYATW;41117;HOP. LAPEYRONIE;1;ODYSSEUM;0;09:25:39;0;396;41155;268435539
1581671070;LAPEYATW;41117;HOP. LAPEYRONIE;1;ODYSSEUM;0;09:33:09;0;846;41155;268436309
1581671066;BLANCATW;41129;LOUIS BLANC;1;ODYSSEUM;0;09:21:20;0;137;41155;268436148
1581671067;BLANCATW;41129;LOUIS BLANC;1;ODYSSEUM;0;09:23:10;0;247;41155;268436159
1581671068;BLANCATW;41129;LOUIS BLANC;1;ODYSSEUM;0;09:27:37;0;514;41155;268436117
1581671230;MALBOATW;41111;MALBOSC;1;ODYSSEUM;0;09:20:48;0;105;41155;268435539
1581671070;MALBOATW;41111;MALBOSC;1;ODYSSEUM;0;09:27:55;0;532;41155;268436309
1581671082;MALBOATW;41111;MALBOSC;1;ODYSSEUM;0;09:30:00;0;657;41155;268436238
1581671284;MILLEATW;41153;MILLENAIRE;1;ODYSSEUM;0;09:19:39;0;36;41155;268436049
1581671064;MILLEATW;41153;MILLENAIRE;1;ODYSSEUM;0;09:23:30;0;267;41155;268435910
1581671065;MILLEATW;41153;MILLENAIRE;1;ODYSSEUM;0;09:28:28;0;565;41155;268435973
1581671064;MONDIATW;41151;MONDIAL 98;1;ODYSSEUM;0;09:22:48;0;225;41155;268435910
1581671065;MONDIATW;41151;MONDIAL 98;1;ODYSSEUM;0;09:27:21;0;498;41155;268435973
1581671229;MONDIATW;41151;MONDIAL 98;1;ODYSSEUM;0;09:31:32;0;749;41155;268435503
1581671083;MOSSOATW;41101;MOSSON T1;1;ODYSSEUM;0;09:24:00;0;297;41155;268436270
1581671084;MOSSOATW;41101;MOSSON T1;1;ODYSSEUM;0;09:29:00;0;597;41155;268435471
1581671231;MOSSOATW;41101;MOSSON T1;1;ODYSSEUM;0;09:34:00;0;897;41155;268435587
1581671064;MOULAATW;41147;MOULARES;1;ODYSSEUM;0;09:19:52;0;49;41155;268435910
1581671065;MOULAATW;41147;MOULARES;1;ODYSSEUM;0;09:24:25;0;322;41155;268435973
1581671229;MOULAATW;41147;MOULARES;1;ODYSSEUM;0;09:28:33;0;570;41155;268435503
1581671069;OCCITATW;41115;OCCITANIE;1;ODYSSEUM;0;09:20:48;0;105;41155;268436198
1581671230;OCCITATW;41115;OCCITANIE;1;ODYSSEUM;0;09:24:48;0;345;41155;268435539
1581671070;OCCITATW;41115;OCCITANIE;1;ODYSSEUM;0;09:31:55;0;772;41155;268436309
1581671067;PHILIATW;41125;PHILIPPIDES;1;ODYSSEUM;0;09:19:04;0;1;41155;268436159
1581671068;PHILIATW;41125;PHILIPPIDES;1;ODYSSEUM;0;09:23:53;0;290;41155;268436117
1581671069;PHILIATW;41125;PHILIPPIDES;1;ODYSSEUM;0;09:28:32;0;569;41155;268436198
1581671067;ALBE1ATW;41127;PLACE ALBERT 1ER;1;ODYSSEUM;0;09:20:53;0;110;41155;268436159
1581671068;ALBE1ATW;41127;PLACE ALBERT 1ER;1;ODYSSEUM;0;09:25:24;0;381;41155;268436117
1581671069;ALBE1ATW;41127;PLACE ALBERT 1ER;1;ODYSSEUM;0;09:30:48;0;705;41155;268436198
1581671229;CARNOTWS;42129;PLACE CARNOT;1;ODYSSEUM;0;09:23:26;0;263;41155;268435503
1581671066;CARNOTWS;42129;PLACE CARNOT;1;ODYSSEUM;0;09:31:03;0;720;41155;268436148
1581671067;CARNOTWS;42129;PLACE CARNOT;1;ODYSSEUM;0;09:32:53;0;830;41155;268436159
1581671284;PFRANCES;41161;PLACE DE FRANCE;1;ODYSSEUM;0;09:21:40;0;157;41155;268436049
1581671064;PFRANCES;41161;PLACE DE FRANCE;1;ODYSSEUM;0;09:25:41;0;398;41155;268435910
1581671065;PFRANCES;41161;PLACE DE FRANCE;1;ODYSSEUM;0;09:29:55;0;652;41155;268435973
1581671064;PMARIATW;41149;PORT MARIANNE;1;ODYSSEUM;0;09:21:41;0;158;41155;268435910
1581671065;PMARIATW;41149;PORT MARIANNE;1;ODYSSEUM;0;09:25:55;0;412;41155;268435973
1581671229;PMARIATW;41149;PORT MARIANNE;1;ODYSSEUM;0;09:30:26;0;683;41155;268435503
1581671065;RLEZ2S;42133;RIVES DU LEZ T3;1;ODYSSEUM;0;09:21:55;0;172;41155;268435973
1581671229;RLEZ2S;42133;RIVES DU LEZ T3;1;ODYSSEUM;0;09:26:26;0;443;41155;268435503
1581671066;RLEZ2S;42133;RIVES DU LEZ T3;1;ODYSSEUM;0;09:34:03;0;900;41155;268436148
1581671068;STELOATW;41121;SAINT-ELOI;1;ODYSSEUM;0;09:20:24;0;81;41155;268436117
1581671069;STELOATW;41121;SAINT-ELOI;1;ODYSSEUM;0;09:25:48;0;405;41155;268436198
1581671230;STELOATW;41121;SAINT-ELOI;1;ODYSSEUM;0;09:29:48;0;645;41155;268435539
1581671070;STPAUATW;41105;SAINT-PAUL;1;ODYSSEUM;0;09:22:55;0;232;41155;268436309
1581671082;STPAUATW;41105;SAINT-PAUL;1;ODYSSEUM;0;09:25:00;0;357;41155;268436238
1581671083;STPAUATW;41105;SAINT-PAUL;1;ODYSSEUM;0;09:30:00;0;657;41155;268436270
1581671082;STMOSSOE;41163;STADE MOSSON;1;ODYSSEUM;0;09:21:00;0;117;41155;268436238
1581671083;STMOSSOE;41163;STADE MOSSON;1;ODYSSEUM;0;09:26:00;0;417;41155;268436270
1581671084;STMOSSOE;41163;STADE MOSSON;1;ODYSSEUM;0;09:31:00;0;717;41155;268435471
1581671068;SCIENATW;41119;UNIVERSITES;1;ODYSSEUM;0;09:19:22;0;19;41155;268436117
1581671069;SCIENATW;41119;UNIVERSITES;1;ODYSSEUM;0;09:24:16;0;313;41155;268436198
1581671230;SCIENATW;41119;UNIVERSITES;1;ODYSSEUM;0;09:27:38;0;515;41155;268435539
1581671065;VOLTAIRS;42131;VOLTAIRE;1;ODYSSEUM;0;09:20:27;0;84;41155;268435973
1581671229;VOLTAIRS;42131;VOLTAIRE;1;ODYSSEUM;0;09:24:30;0;327;41155;268435503
1581671066;VOLTAIRS;42131;VOLTAIRE;1;ODYSSEUM;0;09:32:39;0;816;41155;268436148
1581501015;JUSSIEUA;11121;A. L. JUSSIEU;10;AIGUELONGUE;1;09:19:44;0;41;10234;268439200
1581501016;JUSSIEUA;11121;A. L. JUSSIEU;10;AIGUELONGUE;1;09:25:45;0;402;10234;268439182
1581501017;JUSSIEUA;11121;A. L. JUSSIEU;10;AIGUELONGUE;1;09:46:35;0;1652;10234;268439178
1581501016;AIGUE05S;5236;AIGUELONGUE;10;AIGUELONGUE;1;09:19:06;0;3;10234;268439182
1581501017;AIGUE05S;5236;AIGUELONGUE;10;AIGUELONGUE;1;09:39:56;0;1253;10234;268439178
1581501018;AIGUE05S;5236;AIGUELONGUE;10;AIGUELONGUE;1;09:54:01;0;2098;10234;268439654
1581501016;ALPILLEA;11115;ALPILLES;10;AIGUELONGUE;1;09:19:34;0;31;10234;268439182
1581501017;ALPILLEA;11115;ALPILLES;10;AIGUELONGUE;1;09:41:14;0;1331;10234;268439178
1581501018;ALPILLEA;11115;ALPILLES;10;AIGUELONGUE;1;09:55:04;0;2161;10234;268439654
1581501018;AVAGRICE;9117;AV. AGRICULTURE;10;AIGUELONGUE;1;09:32:59;0;836;10234;268439654
1581501019;AVAGRICE;9117;AV. AGRICULTURE;10;AIGUELONGUE;1;09:52:59;0;2036;10234;268439170
1581501021;AVAGRICE;9117;AV. AGRICULTURE;10;AIGUELONGUE;1;10:32:59;0;4436;10234;268439202
1581501018;BELVEDEE;9109;BELVEDERE;10;AIGUELONGUE;1;09:26:10;0;427;10234;268439654
1581501019;BELVEDEE;9109;BELVEDERE;10;AIGUELONGUE;1;09:46:10;0;1627;10234;268439170
1581501021;BELVEDEE;9109;BELVEDERE;10;AIGUELONGUE;1;10:26:10;0;4027;10234;268439202
1581501018;CELLENEE;10201;CELLENEUVE;10;AIGUELONGUE;1;09:20:00;0;57;10234;268439654
1581501019;CELLENEE;10201;CELLENEUVE;10;AIGUELONGUE;1;09:40:00;0;1257;10234;268439170
1581501021;CELLENEE;10201;CELLENEUVE;10;AIGUELONGUE;1;10:20:00;0;3657;10234;268439202
1581501016;CHANTECA;11116;CHANTECLER;10;AIGUELONGUE;1;09:20:46;0;103;10234;268439182
1581501017;CHANTECA;11116;CHANTECLER;10;AIGUELONGUE;1;09:41:36;0;1353;10234;268439178
1581501018;CHANTECA;11116;CHANTECLER;10;AIGUELONGUE;1;09:55:41;0;2198;10234;268439654
1581501016;CLOLUSA;11114;CLOLUS;10;AIGUELONGUE;1;09:19:39;0;36;10234;268439182
